name,description,nutrition
biscuit,"<div class=""jss65"">britania assorted cream, <!-- -->6.6<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 461<!-- --> <span class=""jss67"">•</span>Carbs: 71g<!-- --> <span class=""jss67"">•</span>Fat: 19g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Rich Cashew Cookies,"<div class=""jss65"">Britania Good Day, <!-- -->12<!-- --> <!-- -->BUISCUIT</div>","<div class=""jss70"">Calories: 493<!-- --> <span class=""jss67"">•</span>Carbs: 64g<!-- --> <span class=""jss67"">•</span>Fat: 23g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Biscuits,"<div class=""jss65"">Britania milk bikis, <!-- -->12<!-- --> <!-- -->gram (2 biscuits)</div>","<div class=""jss70"">Calories: 454<!-- --> <span class=""jss67"">•</span>Carbs: 75g<!-- --> <span class=""jss67"">•</span>Fat: 14g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Vanilla flavored cake,"<div class=""jss65"">Britania, <!-- -->1<!-- --> <!-- -->slice</div>","<div class=""jss70"">Calories: 120<!-- --> <span class=""jss67"">•</span>Carbs: 15g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Ginger Nuts (Biscuits),"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 35<!-- --> <span class=""jss67"">•</span>Carbs: 6g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Treat - Jim Jam Biscuits,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 475<!-- --> <span class=""jss67"">•</span>Carbs: 71g<!-- --> <span class=""jss67"">•</span>Fat: 19g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Chocolate Chip Cookies ,"<div class=""jss65"">Britania Good Day, <!-- -->3<!-- --> <!-- -->cookies</div>","<div class=""jss70"">Calories: 140<!-- --> <span class=""jss67"">•</span>Carbs: 20g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Original Ginger Nuts,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 452<!-- --> <span class=""jss67"">•</span>Carbs: 71g<!-- --> <span class=""jss67"">•</span>Fat: 16g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
whole weat bread,"<div class=""jss65"">britania, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 250<!-- --> <span class=""jss67"">•</span>Carbs: 50g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Family Classic biscuits,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 413<!-- --> <span class=""jss67"">•</span>Carbs: 81g<!-- --> <span class=""jss67"">•</span>Fat: 8g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
classic cheese cubes,"<div class=""jss65"">britania, <!-- -->1<!-- --> <!-- -->unit</div>","<div class=""jss70"">Calories: 78<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
