name,description,nutrition
Handwash,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 786<!-- --> <span class=""jss67"">•</span>Carbs: 69g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Dahi,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 64<!-- --> <span class=""jss67"">•</span>Carbs: 5g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Doodh Milk Biscuits,"<div class=""jss65"">Patanjali, <!-- -->17<!-- --> <!-- -->gram (3 Biscuits)</div>","<div class=""jss70"">Calories: 80<!-- --> <span class=""jss67"">•</span>Carbs: 12g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Amla Aloevera Juice,"<div class=""jss65"">Patanjali, <!-- -->65<!-- --> <!-- -->ml</div>","<div class=""jss70"">Calories: 40<!-- --> <span class=""jss67"">•</span>Carbs: 10g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Patanjali Namkeen Biscuits- Made From Whole Wheat Flour,"<div class=""jss65"">Patanjali, <!-- -->10<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 47<!-- --> <span class=""jss67"">•</span>Carbs: 7g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
tomato oats,"<div class=""jss65"">Patanjali, <!-- -->1<!-- --> <!-- -->packet</div>","<div class=""jss70"">Calories: 150<!-- --> <span class=""jss67"">•</span>Carbs: 27g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Choco Flakes,"<div class=""jss65"">Patanjali, <!-- -->30<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 140<!-- --> <span class=""jss67"">•</span>Carbs: 27g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Choco Flakes,"<div class=""jss65"">Patanjali, <!-- -->30<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 140<!-- --> <span class=""jss67"">•</span>Carbs: 27g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Aarogya Biscuits,"<div class=""jss65"">Patanjali, <!-- -->27<!-- --> <!-- -->gms</div>","<div class=""jss70"">Calories: 130<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
sharbat,"<div class=""jss65"">patanjali khus, <!-- -->1<!-- --> <!-- -->ml</div>","<div class=""jss70"">Calories: 210<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Thandai Powder,"<div class=""jss65"">Patanjali, <!-- -->2<!-- --> <!-- -->tpsp</div>","<div class=""jss70"">Calories: 500<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Mango juice,"<div class=""jss65"">Patanjali, <!-- -->65<!-- --> <!-- -->ml</div>","<div class=""jss70"">Calories: 42<!-- --> <span class=""jss67"">•</span>Carbs: 11g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Orange Juice,"<div class=""jss65"">PATANJALI, <!-- -->100<!-- --> <!-- -->ml</div>","<div class=""jss70"">Calories: 55<!-- --> <span class=""jss67"">•</span>Carbs: 14g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Herbal Tea,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->ml</div>","<div class=""jss70"">Calories: 16<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Biscuits,"<div class=""jss65"">Patanjali Nutty Delight, <!-- -->2<!-- --> <!-- -->pieces</div>","<div class=""jss70"">Calories: 85<!-- --> <span class=""jss67"">•</span>Carbs: 11g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
guava juice ,"<div class=""jss65"">patanjali, <!-- -->1<!-- --> <!-- -->lts</div>","<div class=""jss70"">Calories: 580<!-- --> <span class=""jss67"">•</span>Carbs: 140g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Atta Noodles Classic,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 462<!-- --> <span class=""jss67"">•</span>Carbs: 63g<!-- --> <span class=""jss67"">•</span>Fat: 19g<!-- --> <span class=""jss67"">•</span>Protein: 10g</div>"
Amla pickle,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 102<!-- --> <span class=""jss67"">•</span>Carbs: 8g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Brown Rice,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 365<!-- --> <span class=""jss67"">•</span>Carbs: 78g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Namkeen Biscuit,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 470<!-- --> <span class=""jss67"">•</span>Carbs: 66g<!-- --> <span class=""jss67"">•</span>Fat: 23g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Ghee,"<div class=""jss65"">PATANJALI COWS GHEE, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 898<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 100g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Mix Fruit Juice,"<div class=""jss65"">Patanjali, <!-- -->1<!-- --> <!-- -->serving</div>","<div class=""jss70"">Calories: 110<!-- --> <span class=""jss67"">•</span>Carbs: 2g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Honey,"<div class=""jss65"">Patanjali honey, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 320<!-- --> <span class=""jss67"">•</span>Carbs: 80g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Multigrain Aarogya biscuits,"<div class=""jss65"">Patanjali, <!-- -->4<!-- --> <!-- -->biscuits</div>","<div class=""jss70"">Calories: 130<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
cream biscuit,"<div class=""jss65"">patanjali, <!-- -->100<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 521<!-- --> <span class=""jss67"">•</span>Carbs: 69g<!-- --> <span class=""jss67"">•</span>Fat: 25g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Pushtahar dalia priya,"<div class=""jss65"">Patanjali, <!-- -->1<!-- --> <!-- -->cup</div>","<div class=""jss70"">Calories: 183<!-- --> <span class=""jss67"">•</span>Carbs: 36g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Amla Candy,"<div class=""jss65"">Patanjali Baba Ramdev, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 285<!-- --> <span class=""jss67"">•</span>Carbs: 70g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
