name,description,nutrition
Anzac  biscuit,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->bicuit</div>","<div class=""jss70"">Calories: 62<!-- --> <span class=""jss67"">•</span>Carbs: 9g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Ginger Bread Babies,"<div class=""jss65"">Unibic, <!-- -->25<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 87<!-- --> <span class=""jss67"">•</span>Carbs: 17g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Happy ted,"<div class=""jss65"">Unibic, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 453<!-- --> <span class=""jss67"">•</span>Carbs: 74g<!-- --> <span class=""jss67"">•</span>Fat: 14g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
chocochip cookies,"<div class=""jss65"">unibic, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 480<!-- --> <span class=""jss67"">•</span>Carbs: 68g<!-- --> <span class=""jss67"">•</span>Fat: 21g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
scotch finger,"<div class=""jss65"">unibic, <!-- -->16.67<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 516<!-- --> <span class=""jss67"">•</span>Carbs: 61g<!-- --> <span class=""jss67"">•</span>Fat: 28g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
oatmeal digestive,"<div class=""jss65"">unibic, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 500<!-- --> <span class=""jss67"">•</span>Carbs: 64g<!-- --> <span class=""jss67"">•</span>Fat: 23g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
choco almond,"<div class=""jss65"">unibic, <!-- -->1<!-- --> <!-- -->unit</div>","<div class=""jss70"">Calories: 190<!-- --> <span class=""jss67"">•</span>Carbs: 28g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 10g</div>"
Gingerbread Babies (shell),"<div class=""jss65"">Unibic, <!-- -->25<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 90<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Raspberry Tartelette,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->tart</div>","<div class=""jss70"">Calories: 43<!-- --> <span class=""jss67"">•</span>Carbs: 7g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Chocolate biscuit,"<div class=""jss65"">Unibic, <!-- -->5<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 497<!-- --> <span class=""jss67"">•</span>Carbs: 64g<!-- --> <span class=""jss67"">•</span>Fat: 22g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Pista Badam Cookies,"<div class=""jss65"">Unibic, <!-- -->100<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 523<!-- --> <span class=""jss67"">•</span>Carbs: 60g<!-- --> <span class=""jss67"">•</span>Fat: 28g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Doosra Jeera Cookies ,"<div class=""jss65"">UNIBIC, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 490<!-- --> <span class=""jss67"">•</span>Carbs: 65g<!-- --> <span class=""jss67"">•</span>Fat: 23g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Anzac biscuits,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->biscuit</div>","<div class=""jss70"">Calories: 63<!-- --> <span class=""jss67"">•</span>Carbs: 9g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Oatmeal Cookies,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->cookie</div>","<div class=""jss70"">Calories: 485<!-- --> <span class=""jss67"">•</span>Carbs: 70g<!-- --> <span class=""jss67"">•</span>Fat: 20g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
the Authentic Anzac Biscuit,"<div class=""jss65"">Unibic, <!-- -->12.5<!-- --> <!-- -->g (1 cookie)</div>","<div class=""jss70"">Calories: 61<!-- --> <span class=""jss67"">•</span>Carbs: 9g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Oatmeal Biscuits,"<div class=""jss65"">Unibic Anzac Biscuits, <!-- -->13<!-- --> <!-- -->g (1 Biscuit)</div>","<div class=""jss70"">Calories: 63<!-- --> <span class=""jss67"">•</span>Carbs: 9g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
