name,description,nutrition
sausage,"<div class=""jss65"">dukes, <!-- -->1<!-- --> <!-- -->mg</div>","<div class=""jss70"">Calories: 130<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 11g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
wafer,"<div class=""jss65"">dukes, <!-- -->40<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 516<!-- --> <span class=""jss67"">•</span>Carbs: 66g<!-- --> <span class=""jss67"">•</span>Fat: 26g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Mayonnaise,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->tablespoon</div>","<div class=""jss70"">Calories: 100<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 12g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Fat Free Mayonnaise,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->tbsp</div>","<div class=""jss70"">Calories: 15<!-- --> <span class=""jss67"">•</span>Carbs: 3g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
sausages,"<div class=""jss65"">Dukes, <!-- -->2<!-- --> <!-- -->links</div>","<div class=""jss70"">Calories: 130<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 11g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Turkey Pesto Sandwich,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->half sandwich</div>","<div class=""jss70"">Calories: 240<!-- --> <span class=""jss67"">•</span>Carbs: 24g<!-- --> <span class=""jss67"">•</span>Fat: 8g<!-- --> <span class=""jss67"">•</span>Protein: 14g</div>"
Nibbles,"<div class=""jss65"">Dukes, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 432<!-- --> <span class=""jss67"">•</span>Carbs: 72g<!-- --> <span class=""jss67"">•</span>Fat: 11g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
Bourbon,"<div class=""jss65"">Dukes, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 476<!-- --> <span class=""jss67"">•</span>Carbs: 73g<!-- --> <span class=""jss67"">•</span>Fat: 18g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Biscuit,"<div class=""jss65"">Dukes, <!-- -->7<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 469<!-- --> <span class=""jss67"">•</span>Carbs: 77g<!-- --> <span class=""jss67"">•</span>Fat: 15g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Pepperoni Pizza,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->slice</div>","<div class=""jss70"">Calories: 397<!-- --> <span class=""jss67"">•</span>Carbs: 42g<!-- --> <span class=""jss67"">•</span>Fat: 17g<!-- --> <span class=""jss67"">•</span>Protein: 20g</div>"
truffels,"<div class=""jss65"">dukes, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 531<!-- --> <span class=""jss67"">•</span>Carbs: 62g<!-- --> <span class=""jss67"">•</span>Fat: 29g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Waffle,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->unit</div>","<div class=""jss70"">Calories: 191<!-- --> <span class=""jss67"">•</span>Carbs: 30g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Печенье,"<div class=""jss65"">Dukes, <!-- -->10<!-- --> <!-- -->граммов</div>","<div class=""jss70"">Calories: 523<!-- --> <span class=""jss67"">•</span>Carbs: 63g<!-- --> <span class=""jss67"">•</span>Fat: 29g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Beef Nachos,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->tray</div>","<div class=""jss70"">Calories: 1592<!-- --> <span class=""jss67"">•</span>Carbs: 129g<!-- --> <span class=""jss67"">•</span>Fat: 96g<!-- --> <span class=""jss67"">•</span>Protein: 58g</div>"
Mayonaisse,"<div class=""jss65"">Dukes Light Mayonnaise, <!-- -->1<!-- --> <!-- -->tbsp</div>","<div class=""jss70"">Calories: 50<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Dry Apple Cider,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->cup</div>","<div class=""jss70"">Calories: 140<!-- --> <span class=""jss67"">•</span>Carbs: 6g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Waffy wafers,"<div class=""jss65"">Dukes, <!-- -->100<!-- --> <!-- -->grams</div>","<div class=""jss70"">Calories: 503<!-- --> <span class=""jss67"">•</span>Carbs: 71g<!-- --> <span class=""jss67"">•</span>Fat: 23g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Wafer Biscuits,"<div class=""jss65"">Dukes Waffy, <!-- -->1<!-- --> <!-- -->pc</div>","<div class=""jss70"">Calories: 50<!-- --> <span class=""jss67"">•</span>Carbs: 7g<!-- --> <span class=""jss67"">•</span>Fat: 18g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Burbon biscuits,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->pack</div>","<div class=""jss70"">Calories: 470<!-- --> <span class=""jss67"">•</span>Carbs: 69g<!-- --> <span class=""jss67"">•</span>Fat: 19g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
